Unnamed: 0,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
2322,0,Desktop,0,0,Mips,Female,0,1,Electronics,5,0,1.0,1,0.0,1,29.0,0.0
924,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
1464,11,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,5,0,2.0,1,0.0,18,3.0,0.0
26,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
1019,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
1291,12,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,3,0,1.0,1,0.0,1,105.0,0.0
2215,1,Desktop,0,0,Bank Transfer Payment,Female,0,1,Home Appliances,3,0,2.0,1,0.0,1,56.0,0.0
4,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
2097,2,Desktop,0,0,Pay on Delivery,Male,0,1,Home Appliances,3,0,2.0,0,0.0,1,85.0,0.0
1327,12,Desktop,0,0,Installment,Female,0,1,Beauty & Fitness,3,0,1.0,0,0.0,4,40.0,0.0
1498,9,Desktop,0,0,Mips,Male,0,1,Electronics,1,0,2.0,1,0.0,1,109.0,0.0
1192,12,Desktop,0,0,Bank Transfer Payment,Female,0,1,Home Appliances,5,0,0.0,0,0.0,1,36.0,0.0
1657,5,Desktop,0,0,Bank Transfer Payment,Male,0,1,Home Appliances,5,0,1.0,0,0.0,1,162.0,0.0
649,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
2261,1,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,2,0,1.0,1,0.0,1,47.0,0.0
